1;9;S;W;ded_cath
1;18;O;-;volusien;B
1;20;S;R;sebastien_pamiers;M
2;16;O;-;arnere;Ab
5;4;S;R;girons;m&M
5;11;M;R;udault;M
6;15;O;-;germaine_cousin;V
6;16;O;-;jean_francois_regis;p
6;20;O;-;raymond_barbastro;B
8;19;O;-;louis_anjou;B
8;26;M;W;valier_lizier;Bb
9;1;O;-;martyrs_septembre_pamiers;Mm
9;2;S;R;antonin_pamiers;M&tit_c&p_d
9;16;S;W;cibar;m
9;22;S;R;maurice;M
9;24;O;-;ysarn;Ab
10;16;O;-;gauderic;;anastase;m
11;29;M;R;saturnin;B&M
