1;1;S;W;mary_MG;;;;;
1;2;M;W;basil_gregN;Bb&Dd;;;;
1;3;O;W;Jesus_HolyName;;;;;
1;7;O;-;raymondP;p;;;;
1;13;O;-;hilary;B&D;;;;
1;17;M;W;antony_egypt;Ab;;;;
1;20;O;-;fabian;P&M;sebastien;M;;
1;21;M;R;agnes;V&Mf;;;;
1;22;O;-;vincent_saragossa;d&M;;;;
1;24;M;W;francis_sales;B&D;;;;
1;25;F;W;paul_conv;;;;;
1;26;M;W;timothy_titus;Bb;;;;
1;27;O;-;angela_merici;V;;;;
1;28;M;W;thomas_aquinas;p&D;;;;
1;31;M;W;jean_bosco;p;;;;
2;2;L;W;chandeleur;;;;;
2;3;O;-;blaise;B&M;ansgar;B;;
2;5;M;R;agatha;V&Mf;;;;
2;6;M;R;paul_miki_co;Mm;;;;
2;8;O;-;jerome_emiliani;p;josephine_bakhita;V;;
2;10;M;W;scholastica;V;;;;
2;11;O;-;ND_Lourdes;;;;;
2;14;M;W;cyril_methode;;;;;
2;17;O;-;servites7;;;;;
2;21;O;-;peter_damian;B&D;;;;
2;22;F;W;peter_chair;;;;;
2;23;M;R;polycarp;B&M;;;;
3;4;O;-;casimir;;;;;
3;7;M;R;perpetue_felicite;Mmf;;;;
3;8;O;-;jeandedieu;rM;;;;
3;9;O;-;francoise_romaine;rF;;;;
3;17;O;-;patrick;B;;;;
3;18;O;-;cyril_jerusalem;B&D;;;;
3;19;S;W;joseph_husband;;;;;
3;23;O;-;turibius;B;;;;
3;25;S;W;annonciation;;;;;
4;2;O;-;francis_paola;H;;;;
4;4;O;-;isidore;B&D;;;;
4;5;O;-;vincent_ferrer;p;;;;
4;7;M;W;jb_delasalle;p;;;;
4;11;M;R;stanislas;B&M;;;;
4;13;O;-;martin_pope;P&M;;;;
4;21;O;-;anselm_canterbury;B&D;;;;
4;23;O;-;george;M;adalbert;B&M;;
4;24;O;-;fidelis;p&M;;;;
4;25;F;R;mark_ev;Ap&Ev;;;;
4;28;O;-;peter_chanel;p&M;louis_marie_grignon;p;;
4;29;M;W;cath_siena;V&D;;;;
4;30;O;-;pius_v;P;;;;
5;1;O;-;joseph_worker;;;;;
5;2;M;W;athanasius;B&D;;;;
5;3;F;R;philip_james_app;App;;;;
5;12;O;-;nereus_achille;Mm;pancrace;M;;
5;13;O;-;ND_Fatima;;;;;
5;14;F;R;matthias;Ap;;;;
5;18;O;-;john_i;P&M;;;;
5;20;O;-;bernardin;p;;;;
5;21;O;-;christopher_magallanes_co;Mm;;;;
5;22;O;-;rita;;;;;
5;25;O;-;venerable_bede;p&D;greg_VII;P;mary_magd_pazzi;V
5;26;M;W;philip_neri;p;;;;
5;27;O;-;augustin_canterbury;B;;;;
5;31;F;W;mary_visitation;;;;;
6;1;M;R;justin_martyr;M;;;;
6;2;O;-;marcellin_peter;Mm;;;;
6;3;M;R;charles_lwanga.co;Mm;;;;
6;5;M;R;boniface;B&M;;;;
6;6;O;-;norbert;B;;;;
6;9;O;-;ephrem;d&D;;;;
6;11;M;R;barnabas;Ap;;;;
6;13;M;W;anthony_padua;p&D;;;;
6;19;O;-;romuald;Ab;;;;
6;21;M;W;aloysius;rM;;;;
6;22;O;-;paulinus;B;john_fischer_thomas_more;Mm;;
6;24;S;W;birth_jb;;;;;
6;27;O;-;cyril_alexandria;B&D;;;;
6;28;M;R;ireneaeus;B&M;;;;
6;29;S;R;peter_paul_app;App;;;;
6;30;O;-;first_martyrs_rome;;;;;
7;3;F;R;thomas_app;Ap;;;;
7;4;O;-;elizabeth_portugal;Q;;;;
7;5;O;-;anthony_zaccaria;p;;;;
7;6;O;-;maria_goretti;V&Mf;;;;
7;9;O;-;augustin_zhao_rong;Mm;;;;
7;11;M;W;benoit;Ab;;;;
7;13;O;-;henri;;;;;
7;14;O;-;camille_lellis;p;;;;
7;15;M;W;bonaventure;B&D;;;;
7;16;O;-;ND_Carmel;;;;;
7;20;O;-;appolinaire;B&M;;;;
7;21;O;-;laurent_brindisi;p&D;;;;
7;22;F;W;mary_magdalene;;;;;
7;23;O;-;brigitte;rF;;;;
7;24;O;-;sharbel_makhluf;p&H;;;;
7;25;F;R;james_app;Ap;;;;
7;26;M;W;joachim_anne;;;;;
7;29;M;W;marthe;;;;;
7;30;O;-;peter_chrysologus;B&D;;;;
7;31;M;W;ignace_de_loyola;p;;;;
8;1;M;W;alphonse_marie_liguori;B&D;;;;
