2;14;F;W;cyril_methode_EUR;
4;29;F;W;cath_siena_EUR;V&D
7;11;F;W;benoit_EUR;Ab
7;23;F;W;brigitte_EUR;rF
8;9;F;R;edith_stein_EUR;rF&Mf
